date;calls;weekday;month_day;month_year;reservations_2months_advance;total_reservations;summer_break;christmas_break;special_day
2013-05-11;3707;6;05-11;2013-05;;;0.0;0.0;0.0
2013-05-12;2684;7;05-12;2013-05;;;0.0;0.0;0.0
2013-05-13;6476;1;05-13;2013-05;;;0.0;0.0;0.0
2013-05-14;5922;2;05-14;2013-05;;;0.0;0.0;0.0
2013-05-15;5665;3;05-15;2013-05;;;0.0;0.0;0.0
2013-05-16;6503;4;05-16;2013-05;;;0.0;0.0;0.0
2013-05-17;5782;5;05-17;2013-05;;;0.0;0.0;0.0
2013-05-18;3757;6;05-18;2013-05;;;0.0;0.0;0.0
2013-05-19;2670;7;05-19;2013-05;;;0.0;0.0;0.0
2013-05-20;6161;1;05-20;2013-05;;;0.0;0.0;0.0
2013-05-21;6159;2;05-21;2013-05;;;0.0;0.0;0.0
2013-05-22;6137;3;05-22;2013-05;;;0.0;0.0;0.0
2013-05-23;5761;4;05-23;2013-05;;;0.0;0.0;0.0
2013-05-24;5894;5;05-24;2013-05;;;0.0;0.0;0.0
2013-05-25;3729;6;05-25;2013-05;;;0.0;0.0;1.0
2013-05-26;3379;7;05-26;2013-05;;;0.0;0.0;0.0
2013-05-27;6159;1;05-27;2013-05;;;0.0;0.0;0.0
2013-05-28;6637;2;05-28;2013-05;;;0.0;0.0;0.0
2013-05-29;5968;3;05-29;2013-05;;;0.0;0.0;0.0
2013-05-30;6016;4;05-30;2013-05;;;0.0;0.0;0.0
2013-05-31;5334;5;05-31;2013-05;;;0.0;0.0;0.0
2013-06-01;4461;6;06-01;2013-06;;;0.0;0.0;0.0
2013-06-02;3535;7;06-02;2013-06;;;0.0;0.0;0.0
2013-06-03;6521;1;06-03;2013-06;;;0.0;0.0;0.0
2013-06-04;5334;2;06-04;2013-06;;;0.0;0.0;0.0
2013-06-05;5753;3;06-05;2013-06;;;0.0;0.0;0.0
2013-06-06;5879;4;06-06;2013-06;;;0.0;0.0;0.0
2013-06-07;6142;5;06-07;2013-06;;;0.0;0.0;0.0
2013-06-08;3962;6;06-08;2013-06;;;0.0;0.0;0.0
2013-06-09;3523;7;06-09;2013-06;;;0.0;0.0;0.0
2013-06-10;7072;1;06-10;2013-06;;;0.0;0.0;0.0
2013-06-11;6905;2;06-11;2013-06;;;0.0;0.0;0.0
2013-06-12;6833;3;06-12;2013-06;;;0.0;0.0;0.0
2013-06-13;6941;4;06-13;2013-06;;;0.0;0.0;0.0
2013-06-14;6166;5;06-14;2013-06;;;0.0;0.0;0.0
2013-06-15;5110;6;06-15;2013-06;;;0.0;0.0;0.0
2013-06-16;4080;7;06-16;2013-06;;;0.0;0.0;0.0
2013-06-17;7335;1;06-17;2013-06;;;0.0;0.0;0.0
2013-06-18;7107;2;06-18;2013-06;;;0.0;0.0;0.0
2013-06-19;6884;3;06-19;2013-06;;;0.0;0.0;0.0
2013-06-20;6921;4;06-20;2013-06;;;0.0;0.0;0.0
2013-06-21;7093;5;06-21;2013-06;;;0.0;0.0;0.0
2013-06-22;6214;6;06-22;2013-06;;;0.0;0.0;0.0
2013-06-23;4462;7;06-23;2013-06;;;0.0;0.0;0.0
2013-06-24;7818;1;06-24;2013-06;;;0.0;0.0;0.0
2013-06-25;7260;2;06-25;2013-06;;;0.0;0.0;0.0
2013-06-26;7534;3;06-26;2013-06;;;0.0;0.0;0.0
2013-06-27;6774;4;06-27;2013-06;;;0.0;0.0;0.0
2013-06-28;6982;5;06-28;2013-06;;;0.0;0.0;0.0
2013-06-29;5922;6;06-29;2013-06;;;1.0;0.0;0.0
2013-06-30;4842;7;06-30;2013-06;;;1.0;0.0;0.0
2013-07-01;8185;1;07-01;2013-07;;;1.0;0.0;0.0
2013-07-02;8760;2;07-02;2013-07;;;1.0;0.0;0.0
2013-07-03;8747;3;07-03;2013-07;;;1.0;0.0;0.0
2013-07-04;8300;4;07-04;2013-07;;;1.0;0.0;0.0
2013-07-05;8789;5;07-05;2013-07;;;1.0;0.0;0.0
2013-07-06;6294;6;07-06;2013-07;;;1.0;0.0;0.0
2013-07-07;5292;7;07-07;2013-07;;;1.0;0.0;0.0
2013-07-08;9312;1;07-08;2013-07;;;1.0;0.0;0.0
2013-07-09;8840;2;07-09;2013-07;;;1.0;0.0;0.0
2013-07-10;8826;3;07-10;2013-07;;;1.0;0.0;0.0
2013-07-11;8823;4;07-11;2013-07;;;1.0;0.0;0.0
2013-07-12;8485;5;07-12;2013-07;;;1.0;0.0;0.0
2013-07-13;6992;6;07-13;2013-07;;;1.0;0.0;0.0
2013-07-14;5070;7;07-14;2013-07;;;1.0;0.0;0.0
2013-07-15;9357;1;07-15;2013-07;;;1.0;0.0;0.0
2013-07-16;9653;2;07-16;2013-07;;;1.0;0.0;0.0
2013-07-17;8829;3;07-17;2013-07;;;1.0;0.0;0.0
2013-07-18;8233;4;07-18;2013-07;;;1.0;0.0;0.0
2013-07-19;8310;5;07-19;2013-07;;;1.0;0.0;0.0
2013-07-20;7076;6;07-20;2013-07;;;1.0;0.0;0.0
2013-07-21;5184;7;07-21;2013-07;;;1.0;0.0;0.0
2013-07-22;9163;1;07-22;2013-07;;;1.0;0.0;0.0
2013-07-23;8128;2;07-23;2013-07;;;1.0;0.0;0.0
2013-07-24;8934;3;07-24;2013-07;;;1.0;0.0;0.0
2013-07-25;9047;4;07-25;2013-07;;;1.0;0.0;0.0
2013-07-26;9035;5;07-26;2013-07;;;1.0;0.0;0.0
2013-07-27;6565;6;07-27;2013-07;;;1.0;0.0;0.0
2013-07-28;5335;7;07-28;2013-07;;;1.0;0.0;0.0
2013-07-29;9517;1;07-29;2013-07;;;1.0;0.0;0.0
2013-07-30;8696;2;07-30;2013-07;;;1.0;0.0;0.0
2013-07-31;9060;3;07-31;2013-07;;;1.0;0.0;0.0
2013-08-01;8871;4;08-01;2013-08;;;1.0;0.0;0.0
2013-08-02;9639;5;08-02;2013-08;;;1.0;0.0;0.0
2013-08-03;7462;6;08-03;2013-08;;;1.0;0.0;0.0
2013-08-04;6609;7;08-04;2013-08;;;1.0;0.0;0.0
2013-08-05;10941;1;08-05;2013-08;;;1.0;0.0;0.0
2013-08-06;10278;2;08-06;2013-08;;;1.0;0.0;0.0
2013-08-07;10363;3;08-07;2013-08;;;1.0;0.0;0.0
2013-08-08;10360;4;08-08;2013-08;;;1.0;0.0;0.0
2013-08-09;10555;5;08-09;2013-08;;;1.0;0.0;0.0
2013-08-10;10020;6;08-10;2013-08;;;1.0;0.0;0.0
2013-08-11;7480;7;08-11;2013-08;;;1.0;0.0;0.0
2013-08-12;11380;1;08-12;2013-08;;;1.0;0.0;0.0
2013-08-13;10407;2;08-13;2013-08;;;1.0;0.0;0.0
2013-08-14;9982;3;08-14;2013-08;;;1.0;0.0;0.0
2013-08-15;6779;4;08-15;2013-08;;;1.0;0.0;0.0
2013-08-16;9169;5;08-16;2013-08;;;1.0;0.0;0.0
2013-08-17;7325;6;08-17;2013-08;;;1.0;0.0;0.0
2013-08-18;5949;7;08-18;2013-08;;;1.0;0.0;0.0
2013-08-19;9199;1;08-19;2013-08;;;1.0;0.0;0.0
2013-08-20;8140;2;08-20;2013-08;;;1.0;0.0;0.0
2013-08-21;8140;3;08-21;2013-08;;;1.0;0.0;0.0
2013-08-22;7214;4;08-22;2013-08;;;1.0;0.0;0.0
2013-08-23;6702;5;08-23;2013-08;;;1.0;0.0;0.0
2013-08-24;5584;6;08-24;2013-08;;;1.0;0.0;0.0
2013-08-25;3855;7;08-25;2013-08;;;1.0;0.0;0.0
2013-08-26;6726;1;08-26;2013-08;;;1.0;0.0;0.0
2013-08-27;6925;2;08-27;2013-08;;;1.0;0.0;0.0
2013-08-28;6566;3;08-28;2013-08;;;1.0;0.0;0.0
2013-08-29;5868;4;08-29;2013-08;;;1.0;0.0;0.0
2013-08-30;5275;5;08-30;2013-08;;;0.0;0.0;0.0
2013-08-31;4494;6;08-31;2013-08;;;0.0;0.0;1.0
2013-09-01;3529;7;09-01;2013-09;;;0.0;0.0;0.0
2013-09-02;5968;1;09-02;2013-09;;;0.0;0.0;0.0
2013-09-03;6097;2;09-03;2013-09;;;0.0;0.0;0.0
2013-09-04;6258;3;09-04;2013-09;;;0.0;0.0;0.0
2013-09-05;6411;4;09-05;2013-09;;;0.0;0.0;0.0
2013-09-06;6052;5;09-06;2013-09;;;0.0;0.0;0.0
2013-09-07;4457;6;09-07;2013-09;;;0.0;0.0;0.0
2013-09-08;3136;7;09-08;2013-09;;;0.0;0.0;0.0
2013-09-09;5974;1;09-09;2013-09;;;0.0;0.0;0.0
2013-09-10;5878;2;09-10;2013-09;;;0.0;0.0;0.0
2013-09-11;6156;3;09-11;2013-09;;;0.0;0.0;0.0
2013-09-12;5551;4;09-12;2013-09;;;0.0;0.0;0.0
2013-09-13;6122;5;09-13;2013-09;;;0.0;0.0;0.0
2013-09-14;4240;6;09-14;2013-09;;;0.0;0.0;0.0
2013-09-15;2993;7;09-15;2013-09;;;0.0;0.0;0.0
2013-09-16;6668;1;09-16;2013-09;;;0.0;0.0;0.0
2013-09-17;6470;2;09-17;2013-09;;;0.0;0.0;0.0
2013-09-18;6350;3;09-18;2013-09;;;0.0;0.0;0.0
2013-09-19;6124;4;09-19;2013-09;;;0.0;0.0;0.0
2013-09-20;5540;5;09-20;2013-09;;;0.0;0.0;0.0
2013-09-21;3770;6;09-21;2013-09;;;0.0;0.0;0.0
2013-09-22;2824;7;09-22;2013-09;;;0.0;0.0;0.0
2013-09-23;6073;1;09-23;2013-09;;;0.0;0.0;0.0
2013-09-24;5882;2;09-24;2013-09;;;0.0;0.0;0.0
2013-09-25;5976;3;09-25;2013-09;;;0.0;0.0;0.0
2013-09-26;5695;4;09-26;2013-09;;;0.0;0.0;0.0
2013-09-27;5459;5;09-27;2013-09;;;0.0;0.0;0.0
2013-09-28;3458;6;09-28;2013-09;;;0.0;0.0;0.0
2013-09-29;3227;7;09-29;2013-09;;;0.0;0.0;0.0
2013-09-30;5513;1;09-30;2013-09;;;0.0;0.0;0.0
2013-10-01;5988;2;10-01;2013-10;;;0.0;0.0;0.0
2013-10-02;5537;3;10-02;2013-10;;;0.0;0.0;0.0
2013-10-03;5500;4;10-03;2013-10;;;0.0;0.0;0.0
2013-10-04;5321;5;10-04;2013-10;;;0.0;0.0;0.0
2013-10-05;3452;6;10-05;2013-10;;;0.0;0.0;0.0
2013-10-06;2617;7;10-06;2013-10;;;0.0;0.0;0.0
2013-10-07;5920;1;10-07;2013-10;;;0.0;0.0;0.0
2013-10-08;5292;2;10-08;2013-10;;;0.0;0.0;0.0
2013-10-09;5285;3;10-09;2013-10;;;0.0;0.0;0.0
2013-10-10;5457;4;10-10;2013-10;;;0.0;0.0;0.0
2013-10-11;4609;5;10-11;2013-10;;;0.0;0.0;0.0
2013-10-12;3710;6;10-12;2013-10;;;0.0;0.0;0.0
2013-10-13;2329;7;10-13;2013-10;;;0.0;0.0;0.0
2013-10-14;5812;1;10-14;2013-10;;;0.0;0.0;0.0
2013-10-15;5185;2;10-15;2013-10;;;0.0;0.0;0.0
2013-10-16;4620;3;10-16;2013-10;;;0.0;0.0;0.0
2013-10-17;4550;4;10-17;2013-10;;;0.0;0.0;0.0
2013-10-18;5075;5;10-18;2013-10;;;0.0;0.0;0.0
2013-10-19;3338;6;10-19;2013-10;;;0.0;0.0;0.0
2013-10-20;2529;7;10-20;2013-10;;;0.0;0.0;0.0
2013-10-21;4707;1;10-21;2013-10;;;0.0;0.0;0.0
2013-10-22;4370;2;10-22;2013-10;;;0.0;0.0;0.0
2013-10-23;4627;3;10-23;2013-10;;;0.0;0.0;0.0
2013-10-24;4456;4;10-24;2013-10;;;0.0;0.0;0.0
2013-10-25;4006;5;10-25;2013-10;;;0.0;0.0;1.0
2013-10-26;3003;6;10-26;2013-10;;;0.0;0.0;0.0
2013-10-27;1897;7;10-27;2013-10;;;0.0;0.0;0.0
2013-10-28;4767;1;10-28;2013-10;;;0.0;0.0;0.0
2013-10-29;4533;2;10-29;2013-10;;;0.0;0.0;0.0
2013-10-30;4588;3;10-30;2013-10;;;0.0;0.0;0.0
2013-10-31;4569;4;10-31;2013-10;;;0.0;0.0;1.0
2013-11-01;3921;5;11-01;2013-11;;;0.0;0.0;0.0
2013-11-02;3014;6;11-02;2013-11;;;0.0;0.0;0.0
2013-11-03;2246;7;11-03;2013-11;;;0.0;0.0;0.0
2013-11-04;4326;1;11-04;2013-11;;;0.0;0.0;0.0
2013-11-05;4327;2;11-05;2013-11;;;0.0;0.0;1.0
2013-11-06;3791;3;11-06;2013-11;;;0.0;0.0;0.0
2013-11-07;3600;4;11-07;2013-11;;;0.0;0.0;0.0
2013-11-08;3313;5;11-08;2013-11;;;0.0;0.0;1.0
2013-11-09;2974;6;11-09;2013-11;;;0.0;0.0;0.0
2013-11-10;1921;7;11-10;2013-11;;;0.0;0.0;0.0
2013-11-11;4232;1;11-11;2013-11;;;0.0;0.0;0.0
2013-11-12;3968;2;11-12;2013-11;;;0.0;0.0;0.0
2013-11-13;3973;3;11-13;2013-11;;;0.0;0.0;0.0
2013-11-14;3452;4;11-14;2013-11;;;0.0;0.0;0.0
2013-11-15;3622;5;11-15;2013-11;;;0.0;0.0;0.0
2013-11-16;2638;6;11-16;2013-11;;;0.0;0.0;0.0
2013-11-17;2231;7;11-17;2013-11;;;0.0;0.0;0.0
2013-11-18;3970;1;11-18;2013-11;;;0.0;0.0;0.0
2013-11-19;3898;2;11-19;2013-11;;;0.0;0.0;0.0
2013-11-20;4223;3;11-20;2013-11;;;0.0;0.0;0.0
2013-11-21;4282;4;11-21;2013-11;;;0.0;0.0;0.0
2013-11-22;3865;5;11-22;2013-11;;;0.0;0.0;0.0
2013-11-23;2684;6;11-23;2013-11;;;0.0;0.0;0.0
2013-11-24;1553;7;11-24;2013-11;;;0.0;0.0;0.0
2013-11-25;4047;1;11-25;2013-11;;;0.0;0.0;0.0
2013-11-26;4552;2;11-26;2013-11;;;0.0;0.0;0.0
